იტალიასთან	იტალი ასთან
ბოლოთი	ბოლო თი
სამთავროსა	სამთავრო სა
მითანის	მითან ის
ალმანახი	ალმანახ ი
მოწმეები	მოწმე ები
ევდოკია	ევდოკ ია
ინტერესი	ინტერეს ი
საიდუმლოება	საიდუმლო ება
შენს	შენ ს
გადაჭრას	გადაჭრ ას
დასწამა	დასწამ ა
პაკეტში	პაკეტ ში
რობერ	რობ ერ
შემოდიოდა	შემოდი ოდა
მთავარსარდლობის	მთავარსარდ ლ ობის
ასტრონომია	ასტრონომ ია
ხარჯი	ხარჯ ი
სიგარეტი	სიგარეტ ი
მოულოდნელობა	მოულოდნე ლობა
ალკოჰოლს	ალკოჰოლ ს
დასარბევად	დასარბევ ად
ოკეანეზე	ოკეანე ზე
პიტი	პიტ ი
სინგაპურის	სინგაპ ურის
თაფლობის	თაფლ ობის
ნიჟნი	ნიჟ ნი
სარკეში	სარკ ეში
დისკრეტული	დისკრეტ ული
კლონი	კლონ ი
მუსლიმური	მუსლიმ ური
იდენტიფიცირება	იდენტიფიც ი რება
შემოსევების	შემოსევ ების
ხელაშვილი	ხელ ა შვილი
შანიძე	შანიძ ე
ეტლს	ეტლ ს
გამოყოფას	გამოყოფ ას
პოემების	პოემ ების
მუხრანის	მუხრან ის
ქართველოლოგიის	ქართველ ოლოგი ის
წნეხის	წნეხ ის
სურვილისამებრ	სურვილ ის ამებრ
კანისა	კან ისა
ეკითხებოდა	ეკითხ ებოდა
ვერსიაც	ვერსი აც
სცა	სც ა
კედელში	კედელ ში
დარგი	დარგ ი
წარმოგვიდგება	წარმოგვიდგ ება
მოსინჯა	მოსინჯ ა
მოხუცის	მოხუც ის
სხივები	სხივ ები
გარეშეა	გარეშე ა
თანადროულია	თანადრო ულია
წლამდე	წლ ამდე
პროტესტანტიზმის	პროტესტანტ იზმის
ჟანგბადის	ჟანგბად ის
სახეთა	სახე თა
ჩახაზული	ჩახაზ ული
დაპირისპირების	დაპირისპირებ ის
სისხლსა	სისხლ სა
აცტეკთა	აცტეკ თა
ქარჩოხის	ქარჩოხ ის
ყოველგვარი	ყოველგვარ ი
მამამ	მამ ამ
ეკავათ	ეკავ ათ
სკაუტების	სკაუტ ების
ყველაფრით	ყველაფრ ით
ნომინანტი	ნომინანტ ი
თანდასწრებით	თანდასწრ ებით
აინშტაინის	აინშტაინ ის
საღამოები	საღამო ები
თეორემის	თეორემ ის
გადაურჩნენ	გადაურჩ ნენ
კელტთა	კელტ თა
ითხოვა	ითხოვ ა
სპორტისა	სპორტ ისა
ერიქსონის	ერიქსონ ის
ჩერნიგოვის	ჩერნიგ ოვის
ცერემონიაზე	ცერემონი აზე
მხარდაჭერით	მხარდაჭერ ით
გაყვება	გაყვ ება
აღწერითი	აღწერ ითი
ავითარებდნენ	ავითარ ებდნენ
გულაგის	გულაგ ის
ამოვსებულია	ამოვს ებული ა
ფერდობების	ფერდობ ების
გასაკვირი	გასაკვირ ი
დისკში	დისკ ში
პარალელურად	პარალელ ურად
კარლაილს	კარლაილ ს
ჰენი	ჰენ ი
შეფერილობით	შეფერილ ობით
დაბოლოებული	დაბოლოებ ული
რონალდუმ	რონალდ უმ
რაზდანის	რაზდან ის
არქტიკულ	არქტიკ ულ
ები	ებ ი
ჰაერთან	ჰაერ თან
ვაჭრობდა	ვაჭრობ და
ჰპოვებს	ჰპოვ ებს
ყველამ	ყველ ამ
წინააღმდეგობრივი	წინააღმდეგ ო ბრივი
ქარგა	ქარგ ა
ხისტი	ხ ისტი
მოქალაქეები	მოქალაქე ები
დაემთხვა	დაემთხვ ა
წარმოშობილი	წარმოშობ ილი
უბნის	უბნ ის
ლეგიონებმა	ლეგიონ ებმა
საორგანიზაციო	საორგანიზ აციო
ტაქსონომიურ	ტაქსონომი ურ
დაიღუპა	დაიღუპ ა
არიანე	არიან ე
მორისი	მორის ი
სტრუქტურები	სტრუქტურ ები
მომნელებელი	მომნელ ებელი
კულმინაციას	კულმინაცი ას
მოკლეს	მოკლე ს
ჩამოიყვანა	ჩამოიყვან ა
რიგების	რიგ ების
მახსოვს	მახსოვ ს
სახელწოდებად	სახელწოდ ებად
ყურეს	ყურ ეს
გაერთიანებაში	გაერთიანებ აში
დაცვითი	დაცვ ითი
კანტატები	კანტატ ები
ჯანელიძის	ჯანელიძ ის
ბუნებას	ბუნებ ას
ხეები	ხე ები
ნეოლითის	ნეოლით ის
ხელოსნური	ხელოსნ ური
საყვარელიძე	საყვარ ელი ძე
ჩაუთვალა	ჩაუთვალ ა
კლდოვანი	კლდ ოვანი
ნაგაზი	ნაგაზ ი
შეყვარებულის	შეყვარებულ ის
წყალმარჩხ	წყალმარჩ ხ
გაქრება	გაქრ ება
ქვემეხები	ქვემეხ ები
გარეთა	გარეთ ა
ხუროთმოძღვრება	ხუროთმოძღვ რება
აცილებული	აცილებ ული
აისახება	აისახ ება
ცდება	ცდ ება
ეფექტურობა	ეფექტურ ობა
გაღარიბებული	გაღარიბ ებული
მიწათმფლობელობა	მიწათმფლო ბელ ობა
მომხიბლავი	მომხიბლ ავი
დამფუძნებელია	დამფუძნებ ელია
ესპანურ	ესპან ურ
პრემიერ	პრემი ერ
შეზღუდვებს	შეზღუდვ ებს
შოუზე	შოუ ზე
ჭანტურია	ჭანტურ ია
კეჩუას	კეჩუ ას
სოლისტი	სოლისტ ი
ტექნიკაზე	ტექნიკ აზე
ამაზრზენი	ამაზრზენ ი
ფეხებში	ფეხ ებში
ქვებზე	ქვ ებზე
ჰოპკინზმა	ჰოპკინ ზმა
ჩემპიონატს	ჩემპიონატ ს
სიხშირეს	სიხშირ ეს
ფიგაროს	ფიგარ ოს
მეოთხეა	მეოთხე ა
გარანტიას	გარანტი ას
ნახევარუდაბნოს	ნახევარუდაბნო ს
ლუქსემბურგის	ლუქსემბურგ ის
პერსპექტიულია	პერსპექტი ულია
პოზიტიური	პოზიტი ური
რიტორიკა	რიტორიკ ა
სამწერლო	სამწერლ ო
აქტიურები	აქტიურ ები
წოდებაც	წოდებ აც
თავდაცვისა	თავდაცვ ისა
ატლანტისი	ატლანტ ის ი
პლინიუს	პლინიუ ს
ჯოზეფი	ჯო ზეფ ი
ასვლას	ასვლ ას
დღე	დღ ე
თამაშებისა	თამაშ ების ა
პრეზიდენტ	პრეზიდენ ტ
ჰიურემ	ჰიუ რემ
წარმატებისა	წარმატებ ის ა
შემოქმედმა	შემოქმედ მა
დაპყრობები	დაპყრობ ები
ყაზახეთში	ყაზახ ეთში
ბენდი	ბენდ ი
ვარიანტი	ვარიანტ ი
კლდეკარის	კლდეკარ ის
ეკოსისტემის	ეკოსისტ ემ ის
ფორტეპიანოსა	ფორტეპია ნოს ა
მთავარანგელოზი	მთავარანგელოზ ი
მოქალაქედ	მოქალაქე დ
გაშლის	გაშლ ის
ნათელაშვილის	ნათელ ა შვილის
მიახლოებით	მიახლოებ ით
მუხისფარს	მუხისფარ ს
კომისარიატის	კომისარია ტის
პიტერმა	პიტერ მა
მონიტორები	მონიტორ ები
ინვესტორი	ინვესტორ ი
შეშლა	შეშლ ა
გრადაშჩევიჩის	გრადაშ ჩე ვიჩის
ეცნობა	ეცნობ ა
ხელფასი	ხელფას ი
საიმპერატორო	საიმპერატორ ო
კატაკლიზმები	კატაკლიზმ ები
ქვედაზე	ქვედ აზე
მხრივაც	მხრივ აც
დუელში	დუ ელში
გარემონტდა	გარემონტ და
დაარღვიეს	დაარღვი ეს
აღწერეს	აღწერ ეს
კომიქსებში	კომიქს ებში
ბაიკონურის	ბაიკონურ ის
კულტივირება	კულტივირ ება
ჩათვლა	ჩათვლ ა
ფისი	ფი სი
გადაღებულმა	გადაღებ ულმა
ქსოვილისაგან	ქსოვილ ის აგან
ჩხიკვაძე	ჩხიკვ აძე
ფრანკფურტში	ფრანკფურ ტში
მფარველობას	მფარველ ობას
ჩამოკვეთილი	ჩამოკვეთ ილი
გადარჩევა	გადარჩევ ა
ქვესკნელის	ქვესკნელ ის
რუხია	რუხ ია
რჩევებს	რჩევ ებს
დაღესტნელი	დაღესტ ნელი
ფრანცისკანელთა	ფრანცისკან ელთა
რეიტინგული	რეიტინგ ული
ბელა	ბელ ა
გელათში	გელათ ში
ოცდაათწლიანი	ოცდაათ წლიანი
ლიდერმა	ლიდერ მა
სიტყვიერ	სიტყვ იერ
შემოიფარგლება	შემოიფარგლ ება
ბულგარეთი	ბულგარეთ ი
მოჰკიდა	მოჰკიდ ა
სპარტელთა	სპარტ ელთა
გააფრთხილა	გააფრთხილ ა
ობობა	ობობ ა
პანკრეასის	პანკრე ას ის
მკერდის	მკერდ ის
პლანქტონური	პლანქტონ ური
საისტორიო	სა ის ტორიო
დაველაპარაკები	დაველაპარაკ ები
მომხდარმა	მომხდარ მა
მონასტრების	მონასტრ ების
ამბავში	ამბავ ში
დედინაცვალი	დედინაცვ ალი
ამოშენებულია	ამოშენებ ულია
სიღრმული	სიღრმ ული
ტემპერატურით	ტემპერატურ ით
მოუღეს	მოუღ ეს
შემოსვლის	შემოსვლ ის
რონდელი	რონდ ელი
კავკასიელ	კავკასი ელ
ბაკის	ბაკ ის
ევოლუციაში	ევოლუცი აში
მოხუცი	მოხუც ი
ლუარსაბ	ლუარსა ბ
შარაძე	შარ აძე
ფორმაა	ფორმ ა ა
სათანადოდ	სათანად ოდ
ნიდერლანდში	ნიდერლანდ ში
ვეზუვის	ვეზუ ვის
მწვერვალი	მწვერვალ ი
ეშვება	ეშვ ება
