erezaugtanẽpo	erezaugta nẽpo
ibaʔeraɨmãʔẽ	ibaʔeraɨ mãʔẽ
manasipo	mana sipo
oeronan	oero nan
orereɲ	o r ereɲ
anũpãtar	anũpã tar
poroiruwo	poroiruwo
eredʒuwedʒ	eredʒu we dʒ
ezo	ezo
tata	tata
pureruraʔɨr	pureruraʔɨr
tarawadʒam	tarawadʒam
nõdekuruo	nõde kuru o
nõdebaʔemãʔẽkotɨ	nõde baʔe mãʔẽ kotɨ
topaʔam	to paʔam
tazar	tazar
wãĩwĩkom	wãĩwĩ kom
baipuri	baipuri
kʷehe	kʷehe
nõdeʔaragatu	nõdeʔara gatu
arasuka	arasuka
pewɨkəko	pe wɨkə ko
zoehe	zoehe
nõderapɨdʒ	nõderapɨdʒ
zadʒapɨakakom	zadʒapɨaka kom
omõgaʔu	omõgaʔu
dereibawesipo	de reiba we sipo
pakupitaŋakom	paku pitaŋ akom
eʔira	eʔi r a
perupi	pe rupi
porozikaharate	porozikahar ate
wɨrarehe	wɨra rehe
kɨwonẽ	kɨwo nẽ
ɨwɨ	ɨwɨ
kobtar	kob tar
sĩkãĩ	sĩkãĩ
manãto	manãto
kosokosog	ko so ko so g
pɨa	pɨa
pitakom	pitakom
awurehe	awu rehe
baʔekomarehe	baʔe komarehe
zeburupa	zeburupa
oibao	oiba o
karaɨ	karaɨ
ʔɨ	ʔɨ
wareʔeteaʔu	wareʔe te aʔu
seg	se g
pirakomarehe	pira komarehe
wɨrakarakotɨ	wɨrakara kotɨ
oporahadʒ	oporahadʒ
deruɨar	deru ɨar
rehe	rehe
amõenam	amõ enam
ahotar	a hotar
dosuʔutarinam	dosuʔutari nam
ipuriweʔe	ipuri we ʔe
ewurana	ewurana
zamãʔẽũwã	za mãʔẽũwã
kɨwo	kɨwo
renékotɨ	renékotɨ
awarapɨdʒato	a war apɨdʒa to
sikãĩnũwã	sikãĩ nũwã
tãõwãpo	tã õwã po
zozoga	zozoga
okʷa	o kʷa
nõdebaʔe	nõde baʔe
pir	pir
pureru	pureru
ekotɨ	e kotɨ
kopope	ko pope
akaʔa	akaʔa
ko	ko
zate	za te
oapararaha	o apararaha
oeroʔar	oero ʔar
pinãngala	pinãngala
damãʔẽtaraɨdʒi	da mãʔẽtaraɨdʒi
zawararehe	zawara rehe
ebɨgoŋ	ebɨ goŋ
baʔehar	baʔehar
ibaʔekom	i baʔekom
zatarawadʒ	zatarawadʒ
mamã	mamã
sinamaripori	sinam ari pori
kobnẽ	kob nẽ
owɨg	o wɨg
akʷaɲ	akʷaɲ
ebotenam	ebote nam
wɨrakaranũwã	wɨrakara nũwã
wɨɲakom	wɨɲ akom
ipoɨdjpɨlɨ	ipoɨdj pɨlɨ
oituĩtun	oituĩtun
okoar	o koar
sẽswawanakom	sẽswa wan akom
niwe	ni we
opukudʒ	opukudʒ
səsəwe	sə səwe
